ID,Tanggal,Pelabuhan,Jenis Kendala,Cuaca,Volume Kargo (ton),Risiko Delay (Jam),Rekomendasi AI
ISS0069,01/06/2025,Belawan,Cuaca Buruk,Cerah,13053,0.93,Koordinasi dengan otoritas pelabuhan
ISS0070,03/06/2025,Makassar,Force Majeure,Cerah,7026,0.35,Koordinasi dengan otoritas pelabuhan
ISS0071,24/06/2025,Belawan,Force Majeure,Hujan Deras,15750,0.91,Alihkan kontainer ke terminal lain
ISS0072,24/07/2025,Tanjung Perak,Cuaca Buruk,Kabut Tebal,13069,0.73,Percepat proses bongkar saat cuaca memungkinkan
ISS0073,05/06/2025,Belawan,Cuaca Buruk,Angin Kencang,3578,0.61,Tambahkan armada ke pelabuhan
ISS0074,04/07/2025,Tanjung Perak,Cuaca Buruk,Badai,13709,0.33,Tambahkan armada ke pelabuhan
ISS0075,15/07/2025,Bitung,Overload,Angin Kencang,8403,0.63,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0076,10/06/2025,Tanjung Perak,Force Majeure,Cerah,13904,0.23,Alokasikan ke terminal cadangan
ISS0077,18/07/2025,Belawan,Force Majeure,Angin Kencang,14500,0.42,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0078,22/06/2025,Makassar,Overload,Kabut Tebal,10116,0.8,Alihkan kontainer ke terminal lain
ISS0079,29/07/2025,Tanjung Priok,Cuaca Buruk,Kabut Tebal,10091,0.18,Aktifkan jalur logistik alternatif
ISS0080,09/06/2025,Tanjung Perak,Overload,Angin Kencang,17922,0.68,Tunda pengiriman hingga cuaca membaik
ISS0081,29/06/2025,Makassar,Force Majeure,Angin Kencang,18722,0.47,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0082,02/07/2025,Bitung,Cuaca Buruk,Hujan Deras,9284,0.43,Tambahkan armada ke pelabuhan
ISS0083,03/06/2025,Makassar,Force Majeure,Badai,14602,0.69,Alihkan ke pelabuhan terdekat
ISS0084,04/06/2025,Makassar,Overload,Hujan Deras,5486,0.64,Alihkan kontainer ke terminal lain
ISS0085,16/07/2025,Bitung,Overload,Hujan Deras,2825,0.2,Koordinasi dengan otoritas pelabuhan
ISS0086,17/07/2025,Belawan,Cuaca Buruk,Kabut Tebal,9726,0.24,Koordinasi dengan otoritas pelabuhan
ISS0087,09/06/2025,Bitung,Force Majeure,Angin Kencang,6223,0.86,Koordinasi dengan otoritas pelabuhan
ISS0088,16/06/2025,Tanjung Perak,Overload,Badai,12666,0.67,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0089,27/06/2025,Bitung,Cuaca Buruk,Hujan Deras,7411,0.94,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0090,27/06/2025,Makassar,Overload,Hujan Deras,15641,0.48,Tambahkan armada ke pelabuhan
ISS0091,18/07/2025,Belawan,Force Majeure,Kabut Tebal,3029,0.39,Alihkan ke pelabuhan terdekat
ISS0092,17/07/2025,Belawan,Overload,Cerah,13793,0.11,Alokasikan ke terminal cadangan
ISS0093,16/06/2025,Belawan,Force Majeure,Angin Kencang,4354,0.55,Aktifkan jalur logistik alternatif
ISS0094,25/07/2025,Tanjung Perak,Overload,Kabut Tebal,6384,0.36,Alihkan ke pelabuhan terdekat
ISS0095,06/07/2025,Tanjung Perak,Overload,Cerah,13474,0.73,Tunda pengiriman hingga cuaca membaik
ISS0096,07/06/2025,Tanjung Priok,Force Majeure,Angin Kencang,16086,0.6,Tambahkan armada ke pelabuhan
ISS0097,11/07/2025,Makassar,Force Majeure,Cerah,7906,0.74,Aktifkan jalur logistik alternatif
ISS0098,07/07/2025,Belawan,Overload,Cerah,2442,0.46,Percepat proses bongkar saat cuaca memungkinkan
ISS0099,03/06/2025,Tanjung Priok,Overload,Hujan Deras,5673,0.56,Koordinasi dengan otoritas pelabuhan
ISS0100,29/06/2025,Tanjung Priok,Cuaca Buruk,Hujan Deras,5543,0.46,Aktifkan jalur logistik alternatif
ISS0101,16/06/2025,Bitung,Force Majeure,Kabut Tebal,18343,0.2,Percepat proses bongkar saat cuaca memungkinkan
ISS0102,24/06/2025,Tanjung Priok,Overload,Hujan Deras,19600,0.28,Alokasikan ke terminal cadangan
ISS0103,29/06/2025,Tanjung Priok,Overload,Angin Kencang,13543,0.82,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0104,05/06/2025,Tanjung Perak,Cuaca Buruk,Badai,5887,0.7,Alihkan kontainer ke terminal lain
ISS0105,07/06/2025,Belawan,Force Majeure,Cerah,11795,0.73,Tambahkan armada ke pelabuhan
ISS0106,05/06/2025,Tanjung Priok,Force Majeure,Hujan Deras,15635,0.46,Alihkan kontainer ke terminal lain
ISS0107,14/07/2025,Belawan,Force Majeure,Cerah,11620,0.14,Aktifkan jalur logistik alternatif
ISS0108,25/07/2025,Belawan,Overload,Cerah,5641,0.52,Alokasikan ke terminal cadangan
ISS0109,07/07/2025,Belawan,Overload,Hujan Deras,7887,0.22,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0110,20/06/2025,Makassar,Cuaca Buruk,Hujan Deras,8160,0.19,Alihkan kontainer ke terminal lain
ISS0111,24/06/2025,Tanjung Priok,Overload,Angin Kencang,19378,0.95,Alokasikan ke terminal cadangan
ISS0112,20/06/2025,Belawan,Force Majeure,Hujan Deras,14695,0.76,Alihkan ke pelabuhan terdekat
ISS0113,29/07/2025,Tanjung Perak,Overload,Cerah,8385,0.53,Alokasikan ke terminal cadangan
ISS0114,28/07/2025,Belawan,Overload,Hujan Deras,13604,0.3,Alihkan ke pelabuhan terdekat
ISS0115,29/07/2025,Belawan,Force Majeure,Kabut Tebal,9596,0.8,Alokasikan ke terminal cadangan
ISS0116,25/07/2025,Tanjung Perak,Cuaca Buruk,Kabut Tebal,17629,0.71,Koordinasi dengan otoritas pelabuhan
ISS0117,18/07/2025,Belawan,Overload,Hujan Deras,2933,0.92,Tambahkan armada ke pelabuhan
ISS0118,25/06/2025,Belawan,Cuaca Buruk,Angin Kencang,11107,0.43,Percepat proses bongkar saat cuaca memungkinkan
ISS0119,06/06/2025,Tanjung Perak,Overload,Hujan Deras,17784,0.57,Koordinasi dengan otoritas pelabuhan
ISS0120,01/06/2025,Tanjung Priok,Cuaca Buruk,Badai,12069,0.33,Tambahkan armada ke pelabuhan
ISS0121,25/06/2025,Belawan,Force Majeure,Badai,2383,0.34,Alihkan ke pelabuhan terdekat
ISS0122,29/06/2025,Tanjung Perak,Cuaca Buruk,Hujan Deras,14205,0.21,Alokasikan ke terminal cadangan
ISS0123,04/07/2025,Belawan,Cuaca Buruk,Cerah,4094,0.74,Tambahkan armada ke pelabuhan
ISS0124,05/06/2025,Tanjung Priok,Force Majeure,Cerah,12385,0.23,Aktifkan jalur logistik alternatif
ISS0125,07/06/2025,Bitung,Overload,Hujan Deras,13204,0.93,Koordinasi dengan otoritas pelabuhan
ISS0126,17/07/2025,Bitung,Cuaca Buruk,Badai,14458,0.57,Percepat proses bongkar saat cuaca memungkinkan
ISS0127,28/06/2025,Makassar,Force Majeure,Cerah,13658,0.69,Koordinasi dengan otoritas pelabuhan
ISS0128,18/06/2025,Makassar,Cuaca Buruk,Badai,19021,0.37,Tambahkan armada ke pelabuhan
ISS0129,18/07/2025,Makassar,Force Majeure,Cerah,12690,0.77,Koordinasi dengan otoritas pelabuhan
ISS0130,12/06/2025,Bitung,Force Majeure,Badai,7431,0.14,Alihkan kontainer ke terminal lain
ISS0131,08/07/2025,Tanjung Perak,Force Majeure,Badai,14758,0.11,Alihkan kontainer ke terminal lain
ISS0132,07/06/2025,Belawan,Cuaca Buruk,Angin Kencang,11279,0.5,Aktifkan jalur logistik alternatif
ISS0133,29/06/2025,Bitung,Force Majeure,Angin Kencang,4499,0.29,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0134,06/07/2025,Makassar,Cuaca Buruk,Hujan Deras,18690,0.35,Aktifkan jalur logistik alternatif
ISS0135,26/06/2025,Belawan,Cuaca Buruk,Hujan Deras,6016,0.53,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0136,15/07/2025,Makassar,Force Majeure,Cerah,13350,0.39,Alihkan ke pelabuhan terdekat
ISS0137,28/07/2025,Tanjung Perak,Cuaca Buruk,Hujan Deras,7148,0.92,Tambahkan armada ke pelabuhan
ISS0138,07/06/2025,Makassar,Force Majeure,Hujan Deras,2798,0.94,Tunda pengiriman hingga cuaca membaik
ISS0139,17/07/2025,Belawan,Force Majeure,Kabut Tebal,14451,0.53,Alihkan kontainer ke terminal lain
ISS0140,07/06/2025,Belawan,Force Majeure,Badai,14733,0.71,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0141,25/06/2025,Tanjung Perak,Force Majeure,Kabut Tebal,5906,0.62,Aktifkan jalur logistik alternatif
ISS0142,19/07/2025,Tanjung Priok,Overload,Hujan Deras,9087,0.34,Tunda pengiriman hingga cuaca membaik
ISS0143,19/06/2025,Makassar,Cuaca Buruk,Hujan Deras,2822,0.65,Koordinasi dengan otoritas pelabuhan
ISS0144,28/07/2025,Bitung,Force Majeure,Cerah,11074,0.36,Alihkan ke pelabuhan terdekat
ISS0145,28/06/2025,Tanjung Priok,Force Majeure,Cerah,4398,0.11,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0146,29/06/2025,Makassar,Cuaca Buruk,Kabut Tebal,16594,0.57,Aktifkan jalur logistik alternatif
ISS0147,28/06/2025,Tanjung Perak,Overload,Angin Kencang,3608,0.88,Alihkan kontainer ke terminal lain
ISS0148,21/06/2025,Belawan,Overload,Angin Kencang,6388,0.45,Tambahkan armada ke pelabuhan
ISS0149,05/06/2025,Tanjung Perak,Cuaca Buruk,Cerah,18376,0.3,Percepat proses bongkar saat cuaca memungkinkan
ISS0150,12/07/2025,Belawan,Cuaca Buruk,Hujan Deras,11896,0.48,Tunda pengiriman hingga cuaca membaik
ISS0151,13/06/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,15902,0.91,Percepat proses bongkar saat cuaca memungkinkan
ISS0152,14/06/2025,Tanjung Priok,Force Majeure,Cerah,16718,0.29,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0153,11/06/2025,Tanjung Perak,Force Majeure,Badai,9735,0.34,Percepat proses bongkar saat cuaca memungkinkan
ISS0154,23/07/2025,Tanjung Perak,Cuaca Buruk,Kabut Tebal,5397,0.94,Alihkan kontainer ke terminal lain
ISS0155,20/06/2025,Bitung,Force Majeure,Kabut Tebal,15948,0.53,Alihkan kontainer ke terminal lain
ISS0156,15/06/2025,Belawan,Force Majeure,Kabut Tebal,3850,0.94,Tambahkan armada ke pelabuhan
ISS0157,21/06/2025,Belawan,Overload,Cerah,10041,0.29,Aktifkan jalur logistik alternatif
ISS0158,27/07/2025,Belawan,Force Majeure,Badai,19452,0.93,Percepat proses bongkar saat cuaca memungkinkan
ISS0159,13/07/2025,Belawan,Force Majeure,Angin Kencang,2719,0.91,Alokasikan ke terminal cadangan
ISS0160,27/06/2025,Makassar,Overload,Cerah,7185,0.57,Tambahkan armada ke pelabuhan
ISS0161,26/07/2025,Bitung,Force Majeure,Kabut Tebal,18703,0.72,Tunda pengiriman hingga cuaca membaik
ISS0162,29/07/2025,Tanjung Priok,Force Majeure,Angin Kencang,15078,0.21,Aktifkan jalur logistik alternatif
ISS0163,20/07/2025,Bitung,Overload,Angin Kencang,3783,0.74,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0164,14/07/2025,Bitung,Force Majeure,Hujan Deras,19168,0.84,Tambahkan armada ke pelabuhan
ISS0165,22/07/2025,Tanjung Priok,Overload,Kabut Tebal,15201,0.8,Tambahkan armada ke pelabuhan
ISS0166,20/07/2025,Makassar,Cuaca Buruk,Badai,8915,0.47,Percepat proses bongkar saat cuaca memungkinkan
ISS0167,15/06/2025,Tanjung Priok,Overload,Kabut Tebal,3810,0.41,Koordinasi dengan otoritas pelabuhan
ISS0168,24/06/2025,Makassar,Cuaca Buruk,Badai,11665,0.53,Alokasikan ke terminal cadangan
ISS0169,07/06/2025,Tanjung Priok,Cuaca Buruk,Cerah,18924,0.55,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0170,30/06/2025,Makassar,Cuaca Buruk,Angin Kencang,14190,0.42,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0171,17/07/2025,Makassar,Cuaca Buruk,Hujan Deras,6649,0.17,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0172,12/07/2025,Tanjung Perak,Force Majeure,Cerah,7398,0.74,Koordinasi dengan otoritas pelabuhan
ISS0173,15/06/2025,Bitung,Cuaca Buruk,Badai,18694,0.95,Alihkan ke pelabuhan terdekat
ISS0174,14/06/2025,Tanjung Priok,Force Majeure,Badai,11777,0.71,Tunda pengiriman hingga cuaca membaik
ISS0175,24/07/2025,Belawan,Overload,Kabut Tebal,14014,0.55,Percepat proses bongkar saat cuaca memungkinkan
ISS0176,06/07/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,7172,0.63,Tambahkan armada ke pelabuhan
ISS0177,24/06/2025,Makassar,Force Majeure,Cerah,11450,0.61,Tunda pengiriman hingga cuaca membaik
ISS0178,28/06/2025,Tanjung Perak,Cuaca Buruk,Badai,4378,0.93,Aktifkan jalur logistik alternatif
ISS0179,14/07/2025,Makassar,Overload,Cerah,3297,0.83,Alihkan kontainer ke terminal lain
ISS0180,25/07/2025,Makassar,Cuaca Buruk,Badai,13074,0.81,Alihkan kontainer ke terminal lain
ISS0181,30/06/2025,Tanjung Priok,Cuaca Buruk,Badai,9363,0.83,Alokasikan ke terminal cadangan
ISS0182,30/07/2025,Tanjung Priok,Cuaca Buruk,Badai,9278,0.54,Alihkan ke pelabuhan terdekat
ISS0183,11/07/2025,Tanjung Priok,Cuaca Buruk,Angin Kencang,6045,0.45,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0184,15/07/2025,Makassar,Overload,Hujan Deras,8762,0.11,Alokasikan ke terminal cadangan
ISS0185,08/06/2025,Makassar,Cuaca Buruk,Badai,4436,0.25,Tambahkan armada ke pelabuhan
ISS0186,14/06/2025,Tanjung Priok,Force Majeure,Angin Kencang,14112,0.59,Koordinasi dengan otoritas pelabuhan
ISS0187,11/06/2025,Tanjung Perak,Force Majeure,Hujan Deras,19489,0.47,Aktifkan jalur logistik alternatif
ISS0188,08/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,16962,0.41,Aktifkan jalur logistik alternatif
ISS0189,02/07/2025,Bitung,Force Majeure,Cerah,11859,0.31,Percepat proses bongkar saat cuaca memungkinkan
ISS0190,14/07/2025,Tanjung Perak,Overload,Badai,6998,0.86,Tambahkan armada ke pelabuhan
ISS0191,30/07/2025,Belawan,Force Majeure,Badai,12868,0.18,Alihkan kontainer ke terminal lain
ISS0192,10/07/2025,Tanjung Priok,Force Majeure,Badai,19251,0.69,Tambahkan armada ke pelabuhan
ISS0193,25/06/2025,Belawan,Cuaca Buruk,Angin Kencang,4322,0.32,Percepat proses bongkar saat cuaca memungkinkan
ISS0194,02/07/2025,Tanjung Priok,Force Majeure,Kabut Tebal,7145,0.61,Tunda pengiriman hingga cuaca membaik
ISS0195,22/07/2025,Belawan,Overload,Cerah,14764,0.23,Tunda pengiriman hingga cuaca membaik
ISS0196,02/07/2025,Tanjung Perak,Overload,Angin Kencang,19031,0.67,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0197,11/06/2025,Tanjung Perak,Cuaca Buruk,Hujan Deras,8533,0.12,Tunda pengiriman hingga cuaca membaik
ISS0198,02/06/2025,Tanjung Perak,Force Majeure,Badai,3016,0.12,Koordinasi dengan otoritas pelabuhan
ISS0199,25/06/2025,Tanjung Priok,Cuaca Buruk,Hujan Deras,9956,0.2,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0200,20/06/2025,Bitung,Force Majeure,Badai,16013,0.43,Koordinasi dengan otoritas pelabuhan
ISS0201,13/07/2025,Tanjung Perak,Overload,Cerah,2155,0.7,Alokasikan ke terminal cadangan
ISS0202,24/07/2025,Tanjung Perak,Force Majeure,Kabut Tebal,11643,0.35,Percepat proses bongkar saat cuaca memungkinkan
ISS0203,05/07/2025,Bitung,Cuaca Buruk,Hujan Deras,9597,0.88,Koordinasi dengan otoritas pelabuhan
ISS0204,11/07/2025,Tanjung Perak,Force Majeure,Angin Kencang,2193,0.43,Alihkan ke pelabuhan terdekat
ISS0205,16/06/2025,Tanjung Perak,Force Majeure,Kabut Tebal,10320,0.47,Alihkan kontainer ke terminal lain
ISS0206,14/06/2025,Belawan,Overload,Kabut Tebal,7041,0.17,Percepat proses bongkar saat cuaca memungkinkan
ISS0207,01/06/2025,Tanjung Perak,Force Majeure,Badai,8936,0.33,Alihkan kontainer ke terminal lain
ISS0208,19/06/2025,Bitung,Overload,Kabut Tebal,6491,0.47,Koordinasi dengan otoritas pelabuhan
ISS0209,25/07/2025,Bitung,Overload,Angin Kencang,6467,0.23,Jadwalkan ulang pengiriman di luar jam sibuk
ISS0210,22/07/2025,Makassar,Force Majeure,Badai,19273,0.24,Aktifkan jalur logistik alternatif
ISS0211,11/06/2025,Tanjung Perak,Cuaca Buruk,Cerah,5651,0.91,Alihkan ke pelabuhan terdekat
ISS0212,08/06/2025,Makassar,Cuaca Buruk,Hujan Deras,6083,0.72,Alokasikan ke terminal cadangan
ISS0213,30/06/2025,Makassar,Cuaca Buruk,Badai,14988,0.74,Alihkan kontainer ke terminal lain
ISS0214,17/07/2025,Tanjung Priok,Force Majeure,Badai,2985,0.34,Koordinasi dengan otoritas pelabuhan
ISS0215,13/07/2025,Belawan,Overload,Cerah,2917,0.67,Percepat proses bongkar saat cuaca memungkinkan
ISS0216,17/07/2025,Bitung,Force Majeure,Badai,17297,0.42,Aktifkan jalur logistik alternatif
ISS0217,21/06/2025,Tanjung Perak,Cuaca Buruk,Cerah,17768,0.4,Alokasikan ke terminal cadangan
ISS0218,14/07/2025,Makassar,Overload,Kabut Tebal,15029,0.51,Alihkan ke pelabuhan terdekat
ISS0219,02/06/2025,Tanjung Perak,Force Majeure,Angin Kencang,8098,0.87,Alihkan kontainer ke terminal lain
ISS0220,30/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,4565,0.84,Koordinasi dengan otoritas pelabuhan
ISS0221,09/06/2025,Bitung,Force Majeure,Kabut Tebal,18117,0.44,Alihkan kontainer ke terminal lain
ISS0222,16/06/2025,Belawan,Overload,Hujan Deras,5263,0.66,Alihkan ke pelabuhan terdekat
ISS0223,25/07/2025,Belawan,Overload,Cerah,14738,0.14,Aktifkan jalur logistik alternatif
ISS0224,26/06/2025,Bitung,Overload,Badai,3593,0.69,Tambahkan armada ke pelabuhan
ISS0225,22/07/2025,Tanjung Perak,Cuaca Buruk,Angin Kencang,16852,0.7,Tambahkan armada ke pelabuhan
ISS0226,09/06/2025,Makassar,Force Majeure,Kabut Tebal,5370,0.77,Alihkan kontainer ke terminal lain
ISS0227,03/07/2025,Tanjung Priok,Overload,Hujan Deras,5006,0.81,Tunda pengiriman hingga cuaca membaik
ISS0228,23/06/2025,Makassar,Force Majeure,Cerah,14611,0.34,Tambahkan armada ke pelabuhan
ISS0229,26/06/2025,Belawan,Overload,Cerah,7535,0.9,Aktifkan jalur logistik alternatif
ISS0230,23/07/2025,Tanjung Priok,Force Majeure,Kabut Tebal,2856,0.81,Tunda pengiriman hingga cuaca membaik
ISS0231,05/06/2025,Belawan,Overload,Cerah,11178,0.79,Percepat proses bongkar saat cuaca memungkinkan
ISS0232,01/07/2025,Tanjung Priok,Force Majeure,Cerah,8189,0.62,Aktifkan jalur logistik alternatif
ISS0233,17/06/2025,Belawan,Overload,Badai,5938,0.92,Tambahkan armada ke pelabuhan
